rank,maxIter,regParam,topN,rmse,coverage,diversity,popular_recommendation_ratio,trained_at
12,10,0.08,8,2.5194,0.0447,4.8977,0.5462,2026-07-09 20:23:30
10,9,0.08,9,2.5235,0.0387,5.3888,0.5154,2026-07-09 17:19:49
10,8,0.08,9,2.5255,0.0376,5.5265,0.5108,2026-07-09 17:18:55
10,8,0.08,9,2.5255,0.0376,5.5265,0.5108,2026-07-09 17:18:38
10,8,0.08,9,2.5255,0.0376,5.5265,0.5108,2026-07-09 16:09:53
10,8,0.08,9,2.5255,0.0376,5.5265,0.5108,2026-07-09 16:09:48
10,8,0.08,8,2.5255,0.0341,5.0468,0.4418,2026-07-09 10:22:39
10,8,0.08,8,2.4934,0.0376,5.0036,0.4533,2026-07-09 00:46:00
10,8,0.08,8,2.4934,0.0393,5.0036,0.4533,2026-07-09 00:33:56
10,8,0.08,8,2.4934,0.0355,4.9765,0.5138,2026-07-09 00:30:40
10,8,0.08,8,2.3978,0.0425,4.8538,0.5208,2026-07-08 23:51:40
10,8,0.08,8,2.3978,0.0425,3.381,0.5208,2026-07-08 21:30:21
10,8,0.08,8,2.3978,0.0425,3.381,0.5208,2026-07-08 21:28:29
10,8,0.08,8,2.3275,0.9375,1.4167,0.4,2026-07-08 21:17:38
