user_id,course_id,course_name,category,teacher,rank_position,recommendation_score
U_10000,C_1794464,在线教学课例与解析,未标注,MOOCCubeX,1,0.043787
U_10000,C_681655,传染病学,临床医学,MOOCCubeX,2,0.027303
U_10000,C_682239,无处不在—传染病,未标注,MOOCCubeX,3,0.025366
U_10000,C_948417,大学新生适应指南,未标注,MOOCCubeX,4,0.023285
U_10000,C_685689,病理学,未标注,MOOCCubeX,5,0.02276
U_10000,C_680732,肿瘤生物学概论,生物学,MOOCCubeX,6,0.02217
U_10000,C_677045,e时代的教与学——慕课引发的混合式教学,教育学,MOOCCubeX,7,0.021634
U_10000,C_808526,人体胚胎学总论,未标注,MOOCCubeX,8,0.021484
U_10007,C_707031,如何写好科研论文,未标注,MOOCCubeX,1,0.378486
U_10007,C_629559,生活英语进阶,外国语言文学,MOOCCubeX,2,0.338879
U_10007,C_1428968,区块链和加密数字货币,未标注,MOOCCubeX,3,0.257725
U_10007,C_694136,数据挖掘：理论与算法,未标注,MOOCCubeX,4,0.256932
U_10007,C_696911,毛泽东思想和中国特色社会主义理论体系概论,军队政治工作学,MOOCCubeX,5,0.227237
U_10007,C_682458,会计学原理,应用经济学,MOOCCubeX,6,0.217858
U_10007,C_879040,经济学原理（宏观部分）,未标注,MOOCCubeX,7,0.205488
U_10007,C_873864,实用日语会话（Practical Japanese Conversation）,未标注,MOOCCubeX,8,0.203859
U_10015,C_1794464,在线教学课例与解析,未标注,MOOCCubeX,1,0.088454
U_10015,C_697791,C++语言程序设计基础,计算机科学与技术,MOOCCubeX,2,0.07361
U_10015,C_681655,传染病学,临床医学,MOOCCubeX,3,0.053753
U_10015,C_697821,操作系统,计算机科学与技术,MOOCCubeX,4,0.051955
U_10015,C_943250,柔性电子技术,未标注,MOOCCubeX,5,0.049907
U_10015,C_676937,C++语言程序设计进阶,计算机科学与技术,MOOCCubeX,6,0.049339
U_10015,C_677045,e时代的教与学——慕课引发的混合式教学,教育学,MOOCCubeX,7,0.048656
U_10015,C_682239,无处不在—传染病,未标注,MOOCCubeX,8,0.046405
U_10044,C_676932,心理学概论,心理学,MOOCCubeX,1,0.016239
U_10044,C_1794464,在线教学课例与解析,未标注,MOOCCubeX,2,0.013627
U_10044,C_696908,走进心理学,未标注,MOOCCubeX,3,0.012971
U_10044,C_735351,积极心理学（上）厚德载物篇,未标注,MOOCCubeX,4,0.010821
U_10044,C_696679,电路原理,电气工程,MOOCCubeX,5,0.010771
U_10044,C_676683,积极心理学（下）自强不息篇,心理学,MOOCCubeX,6,0.010375
U_10044,C_697034,唐宋词鉴赏,未标注,MOOCCubeX,7,0.010291
U_10044,C_943250,柔性电子技术,未标注,MOOCCubeX,8,0.009493
U_10051,C_696994,生活英语听说,未标注,MOOCCubeX,1,0.547074
U_10051,C_696968,生活英语读写,未标注,MOOCCubeX,2,0.275096
U_10051,C_948209,自然辩证法概论,未标注,MOOCCubeX,3,0.213512
U_10051,C_760442,自然辩证法概论,未标注,MOOCCubeX,4,0.158059
U_10051,C_677019,英语畅谈中国,未标注,MOOCCubeX,5,0.156767
U_10051,C_735164,理工学术英语,外国语言文学,MOOCCubeX,6,0.123037
U_10051,C_629559,生活英语进阶,外国语言文学,MOOCCubeX,7,0.120673
U_10051,C_697091,大数据与城市规划,计算机科学与技术,MOOCCubeX,8,0.115766
U_10052,C_676932,心理学概论,心理学,MOOCCubeX,1,0.090446
U_10052,C_697034,唐宋词鉴赏,未标注,MOOCCubeX,2,0.062222
