user_id,course_id,user_index,course_index,preference
U_24,C_1428968,52,14,2.28
U_69,C_697791,534,2,2.85
U_69,C_696911,534,33,2.82
U_105,C_1756063,98,208,2.67
U_105,C_680817,98,538,2.61
U_105,C_1794464,98,9,2.52
U_112,C_735251,37,1007,2.28
U_112,C_696939,37,145,1.95
U_112,C_948410,37,51,1.92
U_112,C_1903985,37,29,1.62
U_119,C_801420,834,59,3.0
U_129,C_682222,844,78,2.97
U_170,C_2336296,877,627,2.94
U_172,C_1764865,158,874,2.85
U_172,C_697398,158,196,2.55
U_189,C_697334,148,1629,2.97
U_189,C_817148,148,832,2.94
U_189,C_943250,148,83,2.85
U_189,C_697206,148,685,2.58
U_191,C_677049,25,36,2.79
U_191,C_1755887,25,1359,1.77
U_192,C_883345,287,1,2.79
U_197,C_697791,403,2,3.0
U_198,C_676673,224,141,2.82
U_205,C_948435,317,451,3.0
U_205,C_948296,317,613,2.76
U_212,C_696927,1202,52,3.0
U_212,C_697091,1202,79,2.97
U_219,C_948415,351,139,2.85
U_219,C_1767167,351,1384,2.76
U_230,C_674920,710,10,2.91
U_234,C_697778,907,272,2.94
U_242,C_696911,910,33,2.94
U_260,C_697791,600,2,3.0
U_260,C_770751,600,203,2.91
U_280,C_680824,944,468,2.97
U_457,C_735116,1415,820,2.97
U_463,C_682487,787,783,3.0
U_464,C_799796,436,43,2.94
U_464,C_1795810,436,124,2.82
U_469,C_707035,1419,162,2.97
U_514,C_947794,309,609,3.0
U_528,C_948410,1427,51,3.0
U_591,C_680926,1435,1139,2.97
U_796,C_696922,73,23,2.85
U_796,C_682379,73,193,2.82
U_796,C_696554,73,56,2.73
U_796,C_682485,73,55,2.61
U_796,C_1765606,73,209,2.58
U_796,C_1764865,73,874,2.55
U_817,C_707035,96,162,3.0
U_817,C_696655,96,575,2.46
U_817,C_696626,96,246,2.43
U_817,C_707022,96,199,2.37
U_817,C_697208,96,159,2.28
U_818,C_696922,1054,23,3.0
U_964,C_808534,538,829,2.91
U_972,C_697684,1070,271,2.94
U_974,C_735031,217,696,2.94
U_974,C_674938,217,211,2.91
U_974,C_697068,217,24,2.85
U_981,C_1756063,244,208,2.73
U_1052,C_808526,22,254,3.0
U_1052,C_697188,22,34,2.94
U_1052,C_1686971,22,1065,2.52
U_1052,C_1017355,22,523,2.1
U_1052,C_680732,22,288,1.68
U_1052,C_682629,22,787,1.2
U_1052,C_862969,22,388,1.0
U_1052,C_2310930,22,1474,1.0
U_1052,C_680717,22,1498,1.0
U_1071,C_948435,280,451,2.91
U_1071,C_948468,280,61,2.82
U_1163,C_685689,1102,174,3.0
U_1165,C_909099,62,515,2.79
U_1165,C_696740,62,63,2.73
U_1165,C_696899,62,248,2.7
U_1165,C_677146,62,32,2.37
U_1165,C_697828,62,93,2.1
U_1195,C_879054,390,301,2.85
U_1236,C_854855,841,137,2.94
U_1290,C_676902,845,257,2.97
U_1296,C_2342532,1504,628,2.97
U_1325,C_682704,458,220,2.88
U_1356,C_696597,847,155,2.97
U_1361,C_676963,147,528,2.79
U_1418,C_770738,284,19,2.91
U_1461,C_682466,343,102,3.0
U_1461,C_696554,343,56,2.97
U_1461,C_682702,343,111,2.88
U_1481,C_737512,126,252,2.97
U_1481,C_734011,126,85,2.64
U_1485,C_697130,396,38,2.91
U_1513,C_676683,564,11,2.97
U_1513,C_696908,564,44,2.94
U_1539,C_1552662,681,186,2.97
U_1547,C_949540,199,207,2.88
U_1547,C_676683,199,11,2.85
U_1547,C_676658,199,126,2.76
U_1551,C_707456,565,231,3.0
U_1551,C_881453,565,603,2.94
U_1572,C_934535,869,339,3.0
U_1581,C_697802,1149,161,2.97
U_1603,C_697068,346,24,2.97
U_1603,C_697778,346,272,2.79
U_1626,C_735342,45,39,2.67
U_1626,C_680722,45,411,2.46
U_1626,C_707032,45,94,2.1
U_1626,C_770766,45,508,2.07
U_1626,C_947240,45,720,1.98
U_1626,C_682629,45,787,1.74
U_1663,C_697293,874,27,3.0
U_1684,C_873864,251,53,2.79
U_1735,C_682260,398,941,2.88
U_1748,C_696994,399,0,2.94
U_1748,C_676656,399,88,2.91
U_1755,C_697306,470,374,2.88
U_1758,C_1800063,36,621,1.92
U_1758,C_629559,36,8,1.8
U_1758,C_682324,36,291,1.62
U_1761,C_677179,881,532,2.97
U_1819,C_948432,185,309,2.97
U_1819,C_676661,185,255,2.64
U_1826,C_676674,46,1124,2.91
U_1826,C_707031,46,6,2.79
U_1826,C_883372,46,115,2.46
U_1826,C_735321,46,592,2.19
U_1826,C_676686,46,89,1.92
U_1826,C_680732,46,288,1.89
U_1826,C_696679,46,5,1.86
U_1830,C_1750851,886,617,2.97
U_1863,C_696994,574,0,3.0
U_1863,C_696740,574,63,2.88
U_1868,C_948245,1182,1323,2.97
U_1935,C_854870,890,834,2.94
U_1953,C_746997,699,48,2.91
U_2009,C_1527465,404,238,3.0
U_2058,C_696700,703,3,2.97
U_2059,C_735351,159,7,2.94
U_2059,C_697026,159,134,2.76
U_2097,C_1794464,1199,9,3.0
U_2097,C_696704,1199,223,2.97
U_2255,C_909094,1509,842,2.97
U_2281,C_947252,1214,60,3.0
U_2300,C_788575,352,49,2.94
U_2301,C_696954,905,121,3.0
U_2301,C_682515,905,173,2.94
U_2325,C_696740,30,63,2.94
U_2325,C_696968,30,25,2.85
U_2325,C_677045,30,76,2.43
U_2325,C_681696,30,936,2.25
U_2325,C_696817,30,966,1.92
U_2325,C_735157,30,28,1.53
U_2338,C_696908,587,44,2.94
U_2369,C_697299,256,298,2.97
U_2393,C_677083,292,459,2.85
U_2434,C_1756063,912,208,2.94
U_2452,C_677118,100,901,2.94
U_2518,C_770738,918,19,2.97
U_2545,C_707081,412,17,2.97
U_2545,C_784172,412,438,2.94
U_2561,C_696700,725,3,3.0
U_2617,C_697293,228,27,2.91
U_2628,C_677049,1262,36,3.0
U_2704,C_697067,484,811,2.94
U_2704,C_681034,484,215,2.91
U_2730,C_707022,65,199,2.88
U_2730,C_696835,65,247,2.64
U_2730,C_680841,65,540,2.55
U_2730,C_677042,65,352,2.34
U_2730,C_696991,65,426,2.31
U_2730,C_696976,65,122,2.25
U_2730,C_697098,65,1226,2.13
U_2744,C_1741496,607,1352,2.97
U_2789,C_676664,1283,64,2.97
U_2980,C_707037,93,113,3.0
U_2980,C_866756,93,66,2.79
U_2980,C_681115,93,1154,2.64
U_2980,C_674903,93,18,2.49
U_3007,C_1756056,961,1078,2.94
U_3052,C_676649,746,84,2.91
U_3091,C_1428968,1311,14,3.0
U_3112,C_862967,19,513,2.73
U_3112,C_948210,19,1321,2.7
U_3112,C_948046,19,1052,2.64
U_3112,C_1686679,19,397,2.28
U_3112,C_696955,19,584,2.25
U_3112,C_696976,19,122,1.71
U_3112,C_697401,19,430,1.65
U_3112,C_1825107,19,283,1.56
U_3112,C_676664,19,64,1.5
U_3112,C_677093,19,213,1.23
U_3145,C_697038,967,297,2.94
U_3167,C_674920,416,10,3.0
U_3170,C_879054,970,301,2.97
U_3170,C_735389,970,701,2.94
U_3179,C_735259,417,1008,2.88
U_3179,C_854868,417,511,2.85
U_3179,C_749769,417,148,2.82
U_3212,C_697405,163,58,2.97
U_3212,C_682473,163,245,2.7
U_3212,C_674903,163,18,2.55
U_3217,C_682458,101,41,2.97
U_3217,C_707032,101,94,2.73
U_3217,C_697130,101,38,2.67
U_3345,C_696724,1339,16,2.97
U_3403,C_696911,31,33,2.88
U_3403,C_676648,31,349,2.73
U_3403,C_680732,31,288,2.13
U_3403,C_697144,31,1229,1.95
U_3403,C_697162,31,1621,1.8
U_3403,C_1811867,31,1092,1.74
U_3403,C_1828106,31,1094,1.71
U_3428,C_696882,136,802,3.0
U_3428,C_677110,136,316,2.82
U_3446,C_677236,43,168,2.88
U_3446,C_676676,43,47,2.85
U_3446,C_676649,43,84,2.67
U_3446,C_680757,43,264,2.4
U_3446,C_854846,43,387,2.07
U_3446,C_677164,43,530,2.01
U_3478,C_682739,504,791,2.97
U_3478,C_697026,504,134,2.85
U_3480,C_674920,989,10,2.97
U_3480,C_676996,989,259,2.94
U_3508,C_677249,505,62,2.94
