course_id,course_name,old_category,new_category,reason
C_597225,大学计算机,未标注,工学,override:大学计算机
C_597367,时尚化妆造型（2018秋）,未标注,艺术学,keywords:化妆|造型
C_645178,测试课程0626,未标注,教育学,fallback:generic_course
C_629514,《资治通鉴》导读,未标注,历史学,same_name:历史学
C_655852,系列课-已结课无回顾时长,未标注,工学,keywords:人工智能|数据科学
C_655850,系列课-开课未开始,未标注,工学,keywords:人工智能|数据科学
C_654554,系列课-开课中,未标注,工学,keywords:人工智能|数据科学
C_654506,系列课-开课已结束有回顾时长,未标注,工学,keywords:人工智能|数据科学
C_629558,医学免疫学与病原生物学,未标注,医学,keywords:医学|免疫|病原
C_674910,图案审美与创作,未标注,历史学,keywords:历史
C_674912,音乐与健康,未标注,医学,keywords:治疗|健康
C_674914,管理会计学,未标注,管理学,override:管理会计
C_674923,行政职业能力提升,未标注,管理学,keywords:行政职业
C_674937,中华传统文化与人生修养,未标注,哲学,keywords:儒|佛|人生修养
C_674959,《道德经》的智慧启示,未标注,哲学,keywords:道德经|易经|智慧启示
C_674971,宝玉石鉴赏,未标注,历史学,keywords:历史
C_676648,创业101：你的客户是谁？,未标注,管理学,override:创业
C_676651,创业102：你能为客户做什么？,未标注,管理学,override:创业
C_676653,创业成功第一步：写好商业计划书,未标注,管理学,override:创业
C_676656,创业启程,未标注,管理学,override:创业
C_676661,创意 Creativity,未标注,教育学,keywords:心理
C_676664,大国航母与舰载机,未标注,军事学,keywords:航母|舰载机
C_676681,婚恋·职场·人格,未标注,教育学,keywords:人格
C_676682,文科物理学——生活中的物理,未标注,理学,keywords:物理
C_676685,经典导读与欣赏,未标注,文学,keywords:经典导读
C_676692,科举与中国文化,未标注,历史学,keywords:科举|传统文化
C_676885,幼儿音乐教育与活动指导,未标注,教育学,keywords:教育|教学|教师|学前|幼儿
C_676887,技术创新管理,未标注,管理学,keywords:管理|创新管理
C_676897,现代礼仪与修养,未标注,教育学,fallback:generic_course
C_676907,社会创新与创业,未标注,管理学,override:创业
C_676996,20世纪西方音乐,未标注,艺术学,keywords:音乐
C_677004,古诗今读,未标注,文学,keywords:诗|古诗
C_677009,大学美育,未标注,艺术学,keywords:艺术|美育
C_677014,中国传统文化,未标注,历史学,keywords:传统文化
C_677019,英语畅谈中国,未标注,文学,keywords:语言|英语|国文|传播|媒体
C_677026,互联网思维,未标注,经济学,keywords:经济
C_677052,C程序设计案例教程（基础）,未标注,工学,override:程序设计
C_677077,中国文学名著选读,未标注,文学,keywords:文学|国文|名著
C_677093,人像摄影,未标注,艺术学,keywords:摄影|造型
C_677110,科学计算与MATLAB语言,未标注,理学,keywords:科学计算
C_677130,歌唱启蒙与表演——教你成为歌唱达人,未标注,艺术学,keywords:歌唱
C_677129,媒体大数据挖掘与案例实战,未标注,工学,keywords:网络|数据挖掘|大数据|数据可视化
C_677133,数据库系统（上）：模型与语言,未标注,工学,keywords:计算机|数据库|软件|大数据
C_677136,教学论,未标注,教育学,keywords:教学|教学论
C_677140,数据库系统（下）：管理与技术,未标注,工学,keywords:数据库|算法|软件|大数据
C_677142,国学入门,未标注,文学,keywords:传播
C_677144,游戏心理学,未标注,教育学,keywords:心理
C_677145,创业领导力：美国宇航局的4D卓越团队明星课,未标注,管理学,override:创业
C_677150,Web开发技术,未标注,工学,keywords:Web
C_677161,道路交通环境保护,未标注,工学,keywords:道路|交通
C_677164,酒·文化,未标注,历史学,keywords:历史
C_677167,设计之美,未标注,艺术学,override:设计之美
C_677168,影视广告设计,未标注,艺术学,override:广告设计
C_677172,大学物理（力学）,未标注,理学,keywords:物理|力学
C_677179,古典社会学理论,未标注,法学,keywords:社会学
C_677187,创新设计梦工场,未标注,教育学,fallback:generic_course
C_677193,创业运营演练,未标注,管理学,override:创业
C_677192,视听语言,未标注,文学,keywords:语言|传播
C_677243,《易经》的政治智慧,未标注,法学,keywords:政治
C_677249,质性研究方法,未标注,工学,keywords:程序
C_680710,长安与中国佛教,未标注,历史学,keywords:历史|佛教
C_680714,电子商务,未标注,管理学,override:电子商务
C_680716,营销策划,未标注,管理学,override:营销
C_680719,中国电影艺术简史,未标注,艺术学,keywords:艺术|电影
C_680722,醉美葡萄酒,未标注,教育学,fallback:generic_course
C_680724,质量管理,未标注,管理学,override:质量管理
C_680728,现代企业物流,未标注,管理学,override:物流
C_680740,产业组织理论,未标注,经济学,keywords:产业组织
C_680753,校园风物与大学文化——以清华大学为例,未标注,教育学,fallback:generic_course
C_680767,创新的积极心理学,未标注,教育学,keywords:心理
C_680769,青少年创客与全球名校申请,未标注,教育学,fallback:generic_course
C_680771,铜版画制作,未标注,艺术学,keywords:艺术|版画
C_680789,钢琴艺术及名著欣赏,未标注,艺术学,keywords:艺术|钢琴
C_680802,工程教育认证专家培训课程,未标注,教育学,keywords:教育|心理
C_680807,金属矿床露天开采,未标注,工学,design_context_engineering:工程|矿
C_680819,隋唐五代史专题,未标注,历史学,keywords:历史|隋唐|五代
C_680820,大学化学,未标注,理学,same_name:化学
C_680823,营销在移动互联网时代,未标注,管理学,override:营销
C_680830,ACCA F2 管理会计,未标注,管理学,override:管理会计
C_680844,奇异的仿生学,未标注,教育学,fallback:generic_course
C_680852,2017年清华大学研究生学位论文答辩（二）,未标注,教育学,fallback:generic_course
C_680854,广播电视广告（理论）,未标注,文学,keywords:语言|广告
C_680870,跟我学如何挑选服装,未标注,艺术学,override:服装
C_680884,复变函数,未标注,理学,keywords:数学|复变函数
C_680886,会计学原理,未标注,管理学,override:会计学
C_680890,工程估价,未标注,管理学,keywords:管理
C_680891,知识产权法,未标注,法学,keywords:知识产权
C_680905,现代检测技术,未标注,工学,design_context_engineering:系统|结构|自动化|计算机|检测
C_680920,华为成功之道：人力资源管理的最佳实践,未标注,管理学,override:人力资源管理
C_680921,创业者心理学：积极心态的力量,未标注,管理学,override:创业
C_680938,营商的法律智慧：商法,未标注,法学,keywords:法律
C_680941,管理咨询,未标注,管理学,keywords:管理
C_680943,外贸单证操作,未标注,经济学,keywords:贸易
C_680951,管理思想史,未标注,管理学,keywords:管理
C_680961,思维与逻辑——应该如何讲理,未标注,文学,keywords:语言
