course_id,user_id,preference
C_1428968,U_24,2.28
C_697791,U_69,2.85
C_696911,U_69,2.82
C_1756063,U_105,2.67
C_680817,U_105,2.61
C_1794464,U_105,2.52
C_735251,U_112,2.28
C_696939,U_112,1.95
C_948410,U_112,1.92
C_1903985,U_112,1.62
C_801420,U_119,3.0
C_682222,U_129,2.97
C_2336296,U_170,2.94
C_1764865,U_172,2.85
C_697398,U_172,2.55
C_697334,U_189,2.97
C_817148,U_189,2.94
C_943250,U_189,2.85
C_697206,U_189,2.58
C_677049,U_191,2.79
C_1755887,U_191,1.77
C_883345,U_192,2.79
C_697791,U_197,3.0
C_676673,U_198,2.82
C_948435,U_205,3.0
C_948296,U_205,2.76
C_696927,U_212,3.0
C_697091,U_212,2.97
C_948415,U_219,2.85
C_1767167,U_219,2.76
C_674920,U_230,2.91
C_697778,U_234,2.94
C_696911,U_242,2.94
C_697791,U_260,3.0
C_770751,U_260,2.91
C_680824,U_280,2.97
C_735116,U_457,2.97
C_682487,U_463,3.0
C_799796,U_464,2.94
C_1795810,U_464,2.82
C_707035,U_469,2.97
C_947794,U_514,3.0
C_948410,U_528,3.0
C_680926,U_591,2.97
C_696922,U_796,2.85
C_682379,U_796,2.82
C_696554,U_796,2.73
C_682485,U_796,2.61
C_1765606,U_796,2.58
C_1764865,U_796,2.55
C_707035,U_817,3.0
C_696655,U_817,2.46
C_696626,U_817,2.43
C_707022,U_817,2.37
C_697208,U_817,2.28
C_696922,U_818,3.0
C_808534,U_964,2.91
C_697684,U_972,2.94
C_735031,U_974,2.94
C_674938,U_974,2.91
C_697068,U_974,2.85
C_1756063,U_981,2.73
C_808526,U_1052,3.0
C_697188,U_1052,2.94
C_1686971,U_1052,2.52
C_1017355,U_1052,2.1
C_680732,U_1052,1.68
C_682629,U_1052,1.2
C_862969,U_1052,1.0
C_2310930,U_1052,1.0
C_680717,U_1052,1.0
C_948435,U_1071,2.91
C_948468,U_1071,2.82
C_685689,U_1163,3.0
C_909099,U_1165,2.79
C_696740,U_1165,2.73
C_696899,U_1165,2.7
C_677146,U_1165,2.37
C_697828,U_1165,2.1
C_879054,U_1195,2.85
C_854855,U_1236,2.94
C_676902,U_1290,2.97
C_2342532,U_1296,2.97
C_682704,U_1325,2.88
C_696597,U_1356,2.97
C_676963,U_1361,2.79
C_770738,U_1418,2.91
C_682466,U_1461,3.0
C_696554,U_1461,2.97
C_682702,U_1461,2.88
C_737512,U_1481,2.97
C_734011,U_1481,2.64
C_697130,U_1485,2.91
C_676683,U_1513,2.97
C_696908,U_1513,2.94
C_1552662,U_1539,2.97
C_949540,U_1547,2.88
C_676683,U_1547,2.85
C_676658,U_1547,2.76
C_707456,U_1551,3.0
C_881453,U_1551,2.94
C_934535,U_1572,3.0
C_697802,U_1581,2.97
C_697068,U_1603,2.97
C_697778,U_1603,2.79
C_735342,U_1626,2.67
C_680722,U_1626,2.46
C_707032,U_1626,2.1
C_770766,U_1626,2.07
C_947240,U_1626,1.98
C_682629,U_1626,1.74
C_697293,U_1663,3.0
C_873864,U_1684,2.79
C_682260,U_1735,2.88
C_696994,U_1748,2.94
C_676656,U_1748,2.91
C_697306,U_1755,2.88
C_1800063,U_1758,1.92
C_629559,U_1758,1.8
C_682324,U_1758,1.62
C_677179,U_1761,2.97
C_948432,U_1819,2.97
C_676661,U_1819,2.64
C_676674,U_1826,2.91
C_707031,U_1826,2.79
C_883372,U_1826,2.46
C_735321,U_1826,2.19
C_676686,U_1826,1.92
C_680732,U_1826,1.89
C_696679,U_1826,1.86
C_1750851,U_1830,2.97
C_696994,U_1863,3.0
C_696740,U_1863,2.88
C_948245,U_1868,2.97
C_854870,U_1935,2.94
C_746997,U_1953,2.91
C_1527465,U_2009,3.0
C_696700,U_2058,2.97
C_735351,U_2059,2.94
C_697026,U_2059,2.76
C_1794464,U_2097,3.0
C_696704,U_2097,2.97
C_909094,U_2255,2.97
C_947252,U_2281,3.0
C_788575,U_2300,2.94
C_696954,U_2301,3.0
C_682515,U_2301,2.94
C_696740,U_2325,2.94
C_696968,U_2325,2.85
C_677045,U_2325,2.43
C_681696,U_2325,2.25
C_696817,U_2325,1.92
C_735157,U_2325,1.53
C_696908,U_2338,2.94
C_697299,U_2369,2.97
C_677083,U_2393,2.85
C_1756063,U_2434,2.94
C_677118,U_2452,2.94
C_770738,U_2518,2.97
C_707081,U_2545,2.97
C_784172,U_2545,2.94
C_696700,U_2561,3.0
C_697293,U_2617,2.91
C_677049,U_2628,3.0
C_697067,U_2704,2.94
C_681034,U_2704,2.91
C_707022,U_2730,2.88
C_696835,U_2730,2.64
C_680841,U_2730,2.55
C_677042,U_2730,2.34
C_696991,U_2730,2.31
C_696976,U_2730,2.25
C_697098,U_2730,2.13
C_1741496,U_2744,2.97
C_676664,U_2789,2.97
C_707037,U_2980,3.0
C_866756,U_2980,2.79
C_681115,U_2980,2.64
C_674903,U_2980,2.49
C_1756056,U_3007,2.94
C_676649,U_3052,2.91
C_1428968,U_3091,3.0
C_862967,U_3112,2.73
C_948210,U_3112,2.7
C_948046,U_3112,2.64
C_1686679,U_3112,2.28
C_696955,U_3112,2.25
C_696976,U_3112,1.71
C_697401,U_3112,1.65
C_1825107,U_3112,1.56
C_676664,U_3112,1.5
C_677093,U_3112,1.23
C_697038,U_3145,2.94
C_674920,U_3167,3.0
C_879054,U_3170,2.97
C_735389,U_3170,2.94
C_735259,U_3179,2.88
C_854868,U_3179,2.85
C_749769,U_3179,2.82
C_697405,U_3212,2.97
C_682473,U_3212,2.7
C_674903,U_3212,2.55
C_682458,U_3217,2.97
C_707032,U_3217,2.73
C_697130,U_3217,2.67
C_696724,U_3345,2.97
C_696911,U_3403,2.88
C_676648,U_3403,2.73
C_680732,U_3403,2.13
C_697144,U_3403,1.95
C_697162,U_3403,1.8
C_1811867,U_3403,1.74
C_1828106,U_3403,1.71
C_696882,U_3428,3.0
C_677110,U_3428,2.82
C_677236,U_3446,2.88
C_676676,U_3446,2.85
C_676649,U_3446,2.67
C_680757,U_3446,2.4
C_854846,U_3446,2.07
C_677164,U_3446,2.01
C_682739,U_3478,2.97
C_697026,U_3478,2.85
C_674920,U_3480,2.97
C_676996,U_3480,2.94
C_677249,U_3508,2.94
C_696994,U_3509,2.94
C_677243,U_3509,2.88
C_682210,U_3509,2.64
C_680717,U_3509,2.58
C_681715,U_3509,2.49
C_677043,U_3509,2.31
C_680979,U_3509,1.92
C_696908,U_3516,2.97
C_677241,U_3607,2.94
C_680931,U_3608,2.88
C_840084,U_3633,3.0
C_677099,U_3652,2.97
C_697165,U_3652,2.55
C_682346,U_3652,2.31
C_681362,U_3652,2.28
C_696801,U_3652,2.16
C_682313,U_3652,2.1
C_947149,U_3652,2.04
C_735351,U_3715,3.0
C_697096,U_3715,2.73
C_696976,U_3715,2.61
C_682595,U_3755,2.97
