course_id,learn_count,avg_preference,course_name,category,teacher,description
C_696994,159,2.854,生活英语听说,未标注,MOOCCubeX,你想在生活中使用英语和来自中外的朋友们交流吗？这门课中，我们邀请了50多位美国、英国、爱尔兰、加拿大、澳大利亚、哥伦比亚的朋友聊生活常见话题，带你领略一次不一样的英语学习之旅吧。Let’s go！
C_883345,113,2.822,数据结构(上),未标注,MOOCCubeX,疾风计划2021【首期限额招募】进行中
C_697791,98,2.689,C++语言程序设计基础,计算机科学与技术,MOOCCubeX,疾风计划2021【首期限额招募】进行中
C_696700,87,2.684,《资治通鉴》导读,未标注,MOOCCubeX,《资治通鉴》导读是2017年教育部国家精品在线开放课程，主讲张国刚教授为唐史学家、教授。本课程共15章，以现代思维总结历代治理模式、民生休戚的经验教训，侧重分析修身齐家、治国思想的现实意义。通过老师导读，同学们可深入这一经典文本内部，得以纵览千年历史，提升国学素养，体味人生智慧。
C_696679,84,2.734,电路原理,电气工程,MOOCCubeX,电无处不在。人类文明的进程，几乎就是研究和利用电的过程。电路是用电为人类服务的直接工具。电路原理这门课程教会你分析和设计电路的基本方法。
C_676932,84,2.721,心理学概论,心理学,MOOCCubeX,本课程为心理学基础导论课，以心理学的经典理论和最新实证研究为蓝本，以积极心理学的视角，介绍科学心理学的基本理论、基本方法、研究领域和研究进展。
C_707031,79,2.684,如何写好科研论文,未标注,MOOCCubeX,你在为发表论文发愁吗？你了解准备一篇科研论文需要哪些步骤吗？本课程将为你讲述论文写作的原理，步骤及技巧，帮助你更有效的写作和发表学术论文。
C_735351,73,2.69,积极心理学（上）厚德载物篇,未标注,MOOCCubeX,本课程是积极心理学基础入门的概述性课程，旨在让学生科学系统地了解积极心理学的研究范畴，包括幸福、美德、亲社会心理与行为、福流、价值观与人生意义、积极心理学应用等内容。
C_629559,69,2.609,生活英语进阶,外国语言文学,MOOCCubeX,你想用英语流畅地介绍你的学术研究吗？你想在英语学习中做到上知天文、下知地理吗？让我们带你一起畅游不同学科的英语世界。
C_1794464,65,2.698,在线教学课例与解析,未标注,MOOCCubeX,疫情特殊时期，为帮助教师积极适应新环境、新形式，保障教学质量与教学进度，切实提升混合式教学水平，清华大学在线教学指导专家组的教师和其他优秀教师一起合作，在本慕课中提供典型课程的教学案例、分享最佳实践。
C_697821,62,2.72,操作系统,计算机科学与技术,MOOCCubeX,疾风计划2021【首期限额招募】进行中
C_697034,62,2.698,唐宋词鉴赏,未标注,MOOCCubeX,介绍词的起源，系统讲授唐宋词的代表作家、代表作品和重要流派，以讲作品为主，兼及历史、民俗及人文精神。
C_676683,62,2.656,积极心理学（下）自强不息篇,心理学,MOOCCubeX,本课程是积极心理学基础入门的概述性课程，旨在让学生科学系统地了解积极心理学的研究范畴，包括幸福、美德、亲社会心理与行为、福流、价值观与人生意义、积极心理学应用等内容。
C_674920,62,2.651,逻辑学概论,哲学,MOOCCubeX,“逻辑”是什么？大家都很熟悉却又似乎难以说清。本课程将告诉你：作为一门学科，逻辑学研究的是什么，以及它的基本思路、原则和方法。
C_694136,61,2.67,数据挖掘：理论与算法,未标注,MOOCCubeX,最有趣的理论+最有用的算法=不得不学的数据科学。
C_696724,61,2.624,概率论与数理统计,数学,MOOCCubeX,“降雨概率”，“排队等待时间”，“投资风险”等等，随机现象在现代生活中无处不在。本课程将引导学生学习和理解定量描述随机性的基本数学模型和理论方法。
C_1428968,61,2.544,区块链和加密数字货币,未标注,MOOCCubeX,抓住数字经济时代机遇，掌握区块链和数字货币的精髓。本门课程从简单通俗的语言、商业的逻辑、国际化的高度为你带来一门人人爱听一学就懂的区块链和数字货币课程。
C_707081,57,2.565,人工智能原理,未标注,MOOCCubeX,"本课程在系统回顾人工智能发展史的基础上，重点介绍人工智能的核心思想、基本理论，基本方法与部分应用。 课程以英文原版教材为主，并根据人工智能、特别是机器学习领域的发展和变化，编撰和充实了大量内容。采用中英文PPT,中文讲授。"
C_674903,56,2.686,不朽的艺术：走进大师与经典,艺术学,MOOCCubeX,【国家精品课】以历史为经线，中外比较为纬线，以文化解读为主导，引导修课学生欣赏和理解中西艺术史发展中最伟大的大艺术家及其不朽艺术杰作的美学特征和文化精神意蕴。
C_770738,55,2.724,数据结构(下),未标注,MOOCCubeX,疾风计划2021【首期限额招募】进行中
C_955163,49,2.591,学做小程序——实战篇：树洞小程序,未标注,MOOCCubeX,本课程是由清华大学软件学院和乐享其约共同制作的微信小程序学习教程，由“乐享其约”资深项目经理、产品经理、前端和后端工程师主讲，微信团队担任技术顾问。通过“需求分析”、“原型设计”、“小程序前端实现”、“后台接口开发”、“小程序对接接口”一步步教同学们如何“从无到有”完成一个小程序项目的开发。
C_879040,47,2.644,经济学原理（宏观部分）,未标注,MOOCCubeX,宏观经济之所以变幻莫测，是因为影响宏观经济运行的事物过于庞杂；宏观经济并非不可捉摸，为了更好地了解你生活的经济世界，需要想象力来构建一个属于你的分析框架。
C_696942,46,2.672,日语与日本文化,未标注,MOOCCubeX,你想了解日本人的生活细节和民族文化吗？你想快速掌握日语的基础知识吗？欢迎选择本课程。
C_697068,44,2.802,Python程序设计基础,未标注,MOOCCubeX,"""本课程以任务驱动的方式引导学生完成""""十点半游戏”和“2048游戏”开发，融入Python语言的基础知识，掌握面向对象的程序设计技术，掌握Python基本语法、函数、面向对象、图形图像、数据库编程等方面的知识与技能，为从事Python应用程序开发打下基础。"""
C_696922,44,2.715,大数据机器学习,计算机科学与技术,MOOCCubeX,《大数据机器学习》课程是面向信息学科的高年级本科生或研究生开设的基础理论课，目的是培养学生深入理解大数据机器学习理论基础，牢固掌握大数据机器学习方法，并能够解决实际问题等综合能力。课程的主要内容包括：统计学习基本理论，机器学习基本方法，深度学习理论和方法。
C_696968,43,2.705,生活英语读写,未标注,MOOCCubeX,以读促写，以写辅读！掌握正确的阅读技巧和写作技巧，让你实现一次英语读写的飞跃！
C_697293,42,2.685,英文科技论文写作与学术报告,外国语言文学,MOOCCubeX,表达与交流是拔尖创新科技人才最重要的综合能力。培养英文科技论文写作与学术报告的能力，帮助你打开世界科坛大门，与国际同行平等交流。
C_697236,42,2.549,信息素养——学术研究的必修课,未标注,MOOCCubeX,本课程将助你提高信息素养，在多彩的信息海洋中精准捕获、享用高质量信息，在学术之道上不断创新、健步前行。
C_735157,41,2.578,算法设计与分析,计算机科学与技术,MOOCCubeX,疾风计划2021【首期限额招募】进行中
C_1903985,40,2.182,公司并购与重组,未标注,MOOCCubeX,并购重组是现代企业快速发展和价值提升的重要战略行为。如何通过资本市场并购重组实现企业价值1+1&gt;2和1-1&gt;0？课程将从不同层次全面介绍并购重组的动机，交易的实操过程，以及如何对并购重组交易进行科学的决策与效果的评估。课程将包括并购动机，尽职调查，并购交易结构的设计，并购对价估值，控制权设计与争夺，交易后整合，以及其他的企业重组方式7个模块。各模块之间彼此联系又相对独立。课程通过7个模块打造了完整的并购重组知识体系，但同时又支持根据需求跳跃式学习。课程不仅包括并购重组相关的基本理论知识，还将带领你了解中国民营企业吉利汽车如何规避资本市场风险成功并购国际大公司奔驰汽车母公司戴姆勒；我国上市公司西王食品如何蛇吞象并购全球最大保健品公司加拿大公司KERR；国际知名高科技公司思科如何通过与红杉资本多年的“上市公司+PE”的协同并购保持30年全球技术领先等鲜活经典商业案例。最终，课程将帮助你从理论到实操全方位了解企业如何通过并购重组来提升价值和创造财富，成为资本市场运作的精英。
C_677146,39,2.637,大数据技术与应用,未标注,MOOCCubeX,结合应用实例融会贯通大数据中的理论方法和系统知识（平台、模块、工具），体会运用大数据技术解决实际问题的思路和效果。
C_677010,39,2.618,Java程序设计,计算机科学与技术,MOOCCubeX,【国家精品课】课程介绍Java的基础语法和面向对象的程序设计方法和GUI程序开发方法。
C_676937,39,2.577,C++语言程序设计进阶,计算机科学与技术,MOOCCubeX,疾风计划2021【首期限额招募】进行中
C_697188,38,2.761,新闻摄影,未标注,MOOCCubeX,掌握基本的摄影技能，了解图片新闻的工作方式，训练对生活的观察和热爱，发展对图像的审美和批评能力，以及，培养一个终身的爱好。
C_696911,38,2.754,毛泽东思想和中国特色社会主义理论体系概论,军队政治工作学,MOOCCubeX,毛泽东思想和中国特色社会主义理论体系是中国共产党治国理政的指南针、显微镜和望远镜。本课程将带你探索这些政治理论的来龙去脉、微言大义和现实影响等。本课程应与《党的十九大精神概论》配套使用。
