user_id,course_order
U_24,C_597314|C_597208|C_682129|C_674910|C_707038|C_682312|C_696994|C_707360|C_758201|C_681088|C_758221|C_808654|C_735214|C_879040|C_682485|C_681655|C_697265|C_1025064|C_697288|C_707456|C_936973|C_677038|C_936913|C_696946|C_1428968|C_1748240|C_1756063|C_1778415|C_682530|C_1794464|C_1795810|C_1836502|C_948415|C_948410|C_1808023|C_681414|C_1894860|C_1903985|C_1764851|C_2229905
U_53,C_696679|C_943255|C_682164|C_1771179|C_1836502|C_1794464
U_54,C_682442|C_682164|C_1748240|C_1794464|C_697791|C_1793742
U_68,C_696692|C_948431
U_69,C_584329|C_584313|C_597225|C_679390|C_696994|C_697791|C_696911|C_875624
U_90,C_676664|C_707135|C_696968|C_696994|C_1824921
U_104,C_677018|C_881485
U_105,C_677109|C_707373|C_735157|C_707054|C_735395|C_682485|C_697422|C_756654|C_696994|C_629559|C_677045|C_1756063|C_883345|C_680817|C_1766165|C_1775020|C_1794464|C_948411|C_697401|C_1771179|C_734050|C_814381|C_866756|C_1686971|C_676664|C_947262
U_112,C_696994|C_735338|C_696956|C_677020|C_697027|C_788575|C_697748|C_696855|C_943255|C_696679|C_697415|C_934510|C_854866|C_735300|C_819285|C_677030|C_676673|C_696700|C_676932|C_682277|C_696597|C_676686|C_680722|C_735341|C_735251|C_677159|C_677045|C_881485|C_947244|C_696928|C_1794464|C_1795810|C_1776316|C_782490|C_845950|C_696939|C_948410|C_707038|C_1410126|C_1806527|C_697076|C_1428968|C_682469|C_682442|C_936990|C_677049|C_1903985|C_681083
U_118,C_696740|C_676664|C_697117
U_119,C_801420|C_676905|C_735273
U_123,C_735351|C_943255|C_2203228
U_129,C_697208|C_682222|C_697821
U_146,C_680824|C_766203|C_873864|C_682443|C_682222|C_680845
U_150,C_682155|C_697374
U_151,C_875624|C_676969
U_152,C_676969|C_677010|C_694136|C_883345
U_153,C_696724|C_696826|C_681299
U_159,C_674920|C_707089
U_170,C_676932|C_797404|C_2336296
U_172,C_948410|C_936990|C_697791|C_676651|C_697375|C_1764865|C_1756077|C_682713|C_681076|C_1764859|C_1765606|C_735389|C_697030|C_1924175|C_1903976|C_697398|C_697407
U_184,C_735157|C_1686679|C_696994|C_696700
U_185,C_696729|C_707096|C_943255|C_1794464|C_734053
U_189,C_927961|C_697334|C_817148|C_682155|C_746971|C_943250|C_879069|C_1434547|C_837690|C_948432|C_756710|C_747024|C_922850|C_1907851|C_697206|C_943255|C_1124039|C_696679|C_2342532
U_191,C_696787|C_629559|C_676673|C_680740|C_735342|C_854832|C_697293|C_677049|C_682458|C_697374|C_677042|C_948415|C_948411|C_949540|C_735046|C_948409|C_948414|C_948410|C_948412|C_682624|C_676658|C_1527465|C_948408|C_696994|C_1429002|C_735155|C_696841|C_682314|C_707031|C_682618|C_696923|C_680771|C_1724291|C_799796|C_697360|C_883372|C_883345|C_943250|C_1749554|C_922850|C_1771179|C_1755887|C_696903|C_1159827|C_1748240|C_1756056|C_697179|C_1795810|C_735129|C_677045|C_1761374|C_1755912|C_1755913|C_1793742|C_1761368|C_1755891|C_1755888|C_1750851|C_948419|C_2009301|C_1903965
U_192,C_735157|C_735214|C_854846|C_696704|C_1794464|C_676932|C_696968|C_883345|C_697791|C_1918363
U_193,C_682193|C_707173|C_780844
U_195,C_697027|C_696679|C_784172|C_1794464
U_196,C_697398|C_1738993|C_789278|C_676932
U_197,C_697791|C_676937|C_1794464|C_808526|C_948415|C_694136|C_682379
U_198,C_682147|C_682322|C_682516|C_943255|C_883345|C_680759|C_676673|C_837985|C_677076|C_854862|C_947252|C_682742|C_1903985
U_203,C_697427|C_1159827
U_205,C_948435|C_735362|C_707054|C_694143|C_697407|C_697398|C_696740|C_676913|C_948296
U_212,C_696927|C_697091
U_217,C_697748|C_883345|C_694136|C_697184|C_696685
U_219,C_696679|C_697293|C_696994|C_1794464|C_696700|C_948415|C_1750789|C_674959|C_1767167
U_230,C_948409|C_697374|C_697236|C_674920
U_234,C_1410156|C_697821|C_697778
U_242,C_697293|C_883345|C_696911
U_243,C_1738993|C_694136
U_260,C_697791|C_696746|C_677010|C_770751|C_746997
U_271,C_629559|C_934528
U_274,C_697208|C_746997|C_682345|C_682330
U_280,C_682330|C_680824|C_697293
U_299,C_680762|C_696554
U_300,C_680884|C_1732842|C_682256
U_382,C_680745|C_955163|C_911168
U_412,C_707119|C_682473|C_680881|C_840087|C_1794464
U_413,C_801420|C_883345
U_437,C_696729|C_696679
U_457,C_735107|C_735116
U_463,C_682487|C_697032|C_697039|C_677249
U_464,C_697069|C_696700|C_799796|C_799800|C_680819|C_697034|C_1795810
U_469,C_697130|C_707035|C_1761460
U_514,C_947794|C_697791|C_697398|C_696899|C_735283|C_680745|C_707081|C_681682|C_1756077|C_1864381
U_528,C_948410|C_1724291
U_531,C_696939|C_1750786
U_567,C_883345|C_676969|C_916828|C_696922
U_576,C_873864|C_696942|C_948417
U_591,C_707037|C_680926
U_670,C_697096|C_696994|C_735155|C_682338|C_873864|C_948113|C_1734933|C_1756063|C_1767126|C_681045|C_1328548|C_1628160|C_1627979|C_1889446|C_1890207|C_1891387|C_1894844|C_1894860|C_1894884|C_1894914|C_1894960|C_1899192|C_1904032|C_1905468|C_1906203|C_1912188|C_1912477|C_1762972|C_1915175|C_1916172|C_1916174|C_1916207|C_1916220|C_1918002|C_1918004|C_1924714|C_1924736|C_1940999|C_1941018|C_1974389|C_1980010|C_2038046|C_2111790|C_2242137|C_2255517|C_697415|C_2318799|C_2332585|C_2332807|C_2339808|C_2341099|C_2342039|C_2343133
U_777,C_883345|C_696922
U_783,C_697791|C_694136|C_947253
U_786,C_694150|C_696554
U_796,C_1806527|C_682546|C_682742|C_948414|C_955163|C_696922|C_682379|C_680740|C_883372|C_696554|C_677146|C_694136|C_697422|C_682485|C_1765606|C_1764865|C_697802|C_1864381|C_1944971|C_680931|C_1780261|C_1738993|C_1898449|C_1767126|C_1918363|C_883345|C_898349|C_735157|C_697797|C_697236|C_696724
U_804,C_697149|C_697166|C_1714443|C_873864|C_629559
U_817,C_707035|C_680805|C_696928|C_677099|C_697096|C_948410|C_1428968|C_948415|C_1903985|C_677010|C_747024|C_682222|C_854839|C_879040|C_697075|C_1756063|C_629559|C_697034|C_696655|C_696626|C_707031|C_707022|C_735157|C_697005|C_697208
U_818,C_696922|C_948468|C_696554
U_835,C_943250|C_1748240|C_1771179|C_1792250|C_1997524
U_895,C_682308|C_680745
U_922,C_883345|C_770738
U_964,C_696740|C_696729|C_696980|C_808534|C_682338|C_873864
U_965,C_696724|C_696554|C_696922
U_972,C_696700|C_677049|C_697684
U_974,C_629559|C_854866|C_735031|C_674938|C_697069|C_697068|C_696673|C_677218|C_682308|C_680814|C_1214863|C_1718815|C_676676
U_976,C_694136|C_734011
U_977,C_676932|C_948421
U_981,C_696994|C_735210|C_707096|C_629559|C_696968|C_770784|C_817691|C_1756056|C_1756062|C_1756063|C_1778561|C_1771160
U_1052,C_808526|C_674953|C_697188|C_681448|C_756646|C_682451|C_939360|C_696606|C_681655|C_681503|C_680979|C_682239|C_948244|C_1683594|C_1683791|C_680779|C_1686971|C_1686679|C_1691453|C_1691144|C_854832|C_948423|C_934526|C_788575|C_1692685|C_1720764|C_1718815|C_696789|C_1836502|C_697162|C_1017355|C_1776312|C_680765|C_685689|C_1886689|C_1755924|C_1755929|C_1811839|C_1784729|C_1907838|C_680999|C_1891038|C_1828106|C_1828104|C_680732|C_936997|C_1789687|C_697284|C_747033|C_756654|C_1811867|C_697415|C_681066|C_1824376|C_1814260|C_1781812|C_682168|C_890220|C_1771155|C_1811835|C_682629|C_696988|C_697135|C_1776761|C_1891042|C_1766169|C_1891044|C_1891049|C_1918355|C_2095352|C_1778564|C_2059321|C_1784703|C_1925910|C_1925908|C_1771160|C_1789682|C_1765592|C_2059314|C_1789680|C_1774981|C_756642|C_2033947|C_2113371|C_760442|C_862969|C_2310930|C_697051|C_680717
U_1061,C_1748240|C_1794464
U_1064,C_680732|C_676695|C_680733|C_680897|C_749769|C_676995|C_685689|C_1755846|C_1794464|C_682553|C_2189666|C_1912378
U_1070,C_746997|C_682588|C_782555|C_682228|C_1829950|C_682298|C_682721|C_696679
U_1071,C_911173|C_694156|C_697112|C_948435|C_697791|C_681453|C_948468|C_936987|C_676937|C_707081
U_1073,C_697018|C_746997|C_854843|C_922850
U_1147,C_1410156|C_697821
U_1158,C_676649|C_948419
U_1163,C_685689|C_756654
U_1165,C_682138|C_682439|C_682308|C_681581|C_696554|C_680968|C_676953|C_909099|C_781494|C_696740|C_696899|C_680762|C_680745|C_697063|C_677157|C_682379|C_735120|C_681592|C_681587|C_680764|C_674923|C_677146|C_854832|C_707031|C_677038|C_677045|C_707096|C_932176|C_681357|C_682381|C_697828|C_1691403|C_1691412|C_1691410|C_1214863|C_1691397
U_1184,C_697821|C_681754|C_1410156
U_1192,C_696994|C_851362
U_1193,C_697117|C_676934|C_1527465|C_707031|C_676902|C_682709|C_676932|C_677136|C_676820|C_682324
U_1195,C_780629|C_697068|C_823326|C_697797|C_887103|C_879054|C_754135
U_1197,C_677004|C_697096|C_694136
U_1205,C_674920|C_707031
U_1206,C_854839|C_879040|C_681475|C_857823|C_696562
U_1216,C_677146|C_854832|C_677136|C_680920|C_1214863
U_1236,C_696840|C_735351|C_854855
U_1257,C_681353|C_682551|C_682559|C_676897|C_810834|C_696729|C_948254
U_1276,C_682485|C_696994|C_682190|C_697107|C_1760323
U_1290,C_898310|C_676902|C_1428968
U_1294,C_1806527|C_1428968
U_1296,C_2328476|C_2342532
U_1323,C_682515|C_674903|C_676932|C_681742
